iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
100	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	0.130152
101	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	0.130306
102	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	0.130252
103	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	0.130296
104	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	0.130237
105	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	0.130472
106	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	0.130453
107	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	0.130351
108	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	0.130351
109	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	0.130527
110	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	0.130537
111	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	0.130536
112	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	0.130348
113	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	0.130566
114	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	0.130502
115	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	0.130243
116	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	0.130608
117	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	0.130429
118	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	0.130414
